DTW, num.eggs ,size.fec
2.8914,146.9514,106.0751929
3.5383,162.0904,111.9591035
0.763,17.467,74.28691491
1.0617,16.6692,81.14751627
1.0119,19.9811,80.11181346
0.857,20.1857,76.63079087
0.6138,8.5238,70.08830712
0.9041,11.4243,77.73490062
0.6773,13.3854,71.95768325
0.4451,12.6219,64.31726649
0.9787,19.2046,79.40041347
0.81,19.2156,75.48377784
1.1557,4.4015,83.00922904
1.2027,9.8479,83.89871519
1.2027,19.7741,83.89871519
1.1749,32.8159,83.37573842
1.2883,28.3321,85.45533599
1.2854,32.4195,85.40385973
1.3325,46.4297,86.22959667
1.6063,23.8351,90.64768977
1.7473,12.5375,92.71009205
1.6753,48.9376,91.67283844
1.7085,50.6871,92.15510401
1.7306,51.4642,92.47233651
1.7583,48.9323,92.86578953
1.9657,39.7713,95.67609005
1.8494,74.0334,94.12857802
1.9905,56.3131,95.99735924
2.0762,53.3881,97.08546329
2.1619,56.8858,98.14114257
2.1783,87.8307,98.33965355
2.3387,82.3707,100.2257147
2.4523,50.055,101.5048837
2.9971,3.8927,107.0984282
3.655,55.2319,112.9347309
3.2125,69.8578,109.1044412
3.0077,108.7967,107.1995755
2.8556,112.1152,105.722419
2.9606,128.6518,106.7481203
2.9385,129.2372,106.5344755
3.6461,151.3789,112.8611363
4.1772,118.8415,117.0401792
4.8491,124.6368,121.802087
4.4727,164.9492,119.1988349
4.6414,184.7904,120.3846929
3.8312,196.1314,114.365426
5.4101,174.0359,125.420079