rhoVal,alphaVal,deltaVal,Leqs,Neqs,Heqs,initN,startDist,substrateAdded,tolCond,num.calcs
estimate,estimate,low,55.80943855,15523.30347,296.2844113,13970.97312,distHarvest,489.74,0.08,150
estimate,estimate,low,55.80943855,15523.30347,296.2844113,17075.63382,distHarvest,442.32,0.08,150
estimate,estimate,low,55.80943855,15523.30347,296.2844113,13970.97312,distEq,352.17,0.16,150
estimate,estimate,low,55.80943855,15523.30347,296.2844113,17075.63382,distEq,298.06,0.16,150
estimate,estimate,high,197.2121401,54854.23217,154.8817098,49368.80895,distHarvest,1091.21,0.01,150
estimate,estimate,high,197.2121401,54854.23217,154.8817098,60339.65539,distHarvest,837.13,0.08,150
estimate,estimate,high,197.2121401,54854.23217,154.8817098,49368.80895,distEq,298.97,0.01,150
estimate,estimate,high,197.2121401,54854.23217,154.8817098,60339.65539,distEq,72.29,0.08,150
low,estimate,high,54084.95576,15043641.42,42475.9369,13539277.28,distHarvest,4669251.75,35.65,150
low,estimate,high,54084.95576,15043641.42,42475.9369,16548005.56,distHarvest,1797297.43,35.65,150
low,estimate,high,54084.95576,15043641.42,42475.9369,13539277.28,distEq,157669.1,22.81,150
low,estimate,high,54084.95576,15043641.42,42475.9369,16548005.56,distEq,22.81,22.81,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,9954256.811,distHarvest,854534.59,19.07,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,12166313.88,distHarvest,498680.3,19.07,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,9954256.811,distEq,124373.59,30.51,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,12166313.88,distEq,32183.99,30.51,150
low,estimate,low,15305.60448,4257228.692,81255.28818,3831505.823,distHarvest,211313.84,5.46,150
low,estimate,low,15305.60448,4257228.692,81255.28818,4682951.562,distHarvest,172258.83,43.64,150
low,estimate,low,15305.60448,4257228.692,81255.28818,3831505.823,distEq,112053.34,21.82,150
low,estimate,low,15305.60448,4257228.692,81255.28818,4682951.562,distEq,81165.03,10.91,150
estimate,estimate,mid,144.9929895,40329.56139,207.1008603,36296.60525,distHarvest,743.61,0.11,150
estimate,estimate,mid,144.9929895,40329.56139,207.1008603,44362.51753,distHarvest,604.18,0.06,150
estimate,estimate,mid,144.9929895,40329.56139,207.1008603,36296.60525,distEq,310.99,0.03,150
estimate,estimate,mid,144.9929895,40329.56139,207.1008603,44362.51753,distEq,168.97,0.11,150