Site,Date,Cohort,Age,LVL
WB,8/8/06,june2006,0.147945205,21.1
WB,8/8/06,june2006,0.147945205,20.5
WB,8/8/06,june2006,0.147945205,19.5
WB,8/8/06,june2006,0.147945205,21.7
WB,8/8/06,june2006,0.147945205,24
WB,8/8/06,june2006,0.147945205,18.1
WB,8/8/06,june2006,0.147945205,22.9
WB,8/8/06,june2006,0.147945205,23.3
WB,8/8/06,june2006,0.147945205,27.5
WB,8/8/06,june2006,0.147945205,19.4
WB,8/8/06,june2006,0.147945205,23.6
WB,8/8/06,june2006,0.147945205,21.7
WB,8/8/06,june2006,0.147945205,17.1
WB,8/8/06,june2006,0.147945205,14.9
WB,8/8/06,june2006,0.147945205,16.2
WB,8/8/06,june2006,0.147945205,22.2
WB,8/8/06,june2006,0.147945205,26.9
WB,8/8/06,june2006,0.147945205,19
WB,8/8/06,june2006,0.147945205,24.5
WB,8/8/06,june2006,0.147945205,15.1
WB,8/8/06,june2006,0.147945205,25.5
WB,8/8/06,june2006,0.147945205,25
WB,8/8/06,june2006,0.147945205,23.4
WB,8/8/06,june2006,0.147945205,19.2
WB,8/8/06,june2006,0.147945205,16.8
WB,8/8/06,june2006,0.147945205,19.1
WB,8/8/06,june2006,0.147945205,19.6
WB,8/8/06,june2006,0.147945205,17.9
WB,8/8/06,june2006,0.147945205,15.5
WB,8/8/06,june2006,0.147945205,19.3
WB,8/8/06,june2006,0.147945205,17.9
WB,8/8/06,june2006,0.147945205,17.7
WB,8/8/06,june2006,0.147945205,20.9
WB,8/8/06,june2006,0.147945205,24.6
WB,8/8/06,june2006,0.147945205,20.6
WB,8/8/06,june2006,0.147945205,18.2
WB,8/8/06,june2006,0.147945205,23.4
WB,8/8/06,june2006,0.147945205,20.1
WB,8/8/06,june2006,0.147945205,22.5
WB,8/8/06,june2006,0.147945205,21.8
WB,8/8/06,june2006,0.147945205,24.3
WB,8/8/06,june2006,0.147945205,10.2
WB,8/8/06,june2006,0.147945205,22
WB,8/8/06,june2006,0.147945205,13
WB,8/8/06,june2006,0.147945205,25.4
WB,8/8/06,june2006,0.147945205,29
WB,8/8/06,june2006,0.147945205,20.9
WB,8/8/06,june2006,0.147945205,12.9
WB,8/8/06,june2006,0.147945205,14
WB,8/8/06,june2006,0.147945205,14.2
WB,8/8/06,june2006,0.147945205,28.6
WB,8/8/06,june2006,0.147945205,17.5
WB,8/8/06,june2006,0.147945205,31.6
WB,8/8/06,june2006,0.147945205,12.2
WB,8/8/06,june2006,0.147945205,24
WB,8/8/06,june2006,0.147945205,18.7
WB,8/8/06,june2006,0.147945205,19.3
WB,8/8/06,june2006,0.147945205,25.2
WB,8/8/06,june2006,0.147945205,15.2
WB,8/8/06,june2006,0.147945205,17
WB,8/8/06,june2006,0.147945205,20.5
WB,8/8/06,june2006,0.147945205,13.4
WB,8/8/06,june2006,0.147945205,16.1
WB,8/8/06,june2006,0.147945205,17.4
WB,8/8/06,june2006,0.147945205,23.1
WB,8/8/06,june2006,0.147945205,22.6
WB,8/8/06,june2006,0.147945205,24.6
WB,8/8/06,june2006,0.147945205,24.5
WB,8/8/06,june2006,0.147945205,19.4
WB,8/8/06,june2006,0.147945205,23.2
WB,8/8/06,june2006,0.147945205,23.9
WB,8/8/06,june2006,0.147945205,18.3
WB,8/8/06,june2006,0.147945205,17.3
WB,8/8/06,june2006,0.147945205,5
WB,8/8/06,june2006,0.147945205,17.5
WB,8/8/06,june2006,0.147945205,13.7
WB,8/8/06,june2006,0.147945205,26.7
WB,8/8/06,june2006,0.147945205,19
WB,8/8/06,june2006,0.147945205,18.1
WB,8/8/06,june2006,0.147945205,15
WB,8/8/06,june2006,0.147945205,28.8
WB,8/8/06,june2006,0.147945205,20.3
WB,8/8/06,june2006,0.147945205,23.6
WB,8/8/06,june2006,0.147945205,16.4
WB,8/8/06,june2006,0.147945205,13.3
WB,8/8/06,june2006,0.147945205,13.5
WB,8/8/06,june2006,0.147945205,19
WB,8/8/06,june2006,0.147945205,22.9
WB,8/8/06,june2006,0.147945205,16.9
WB,8/8/06,june2006,0.147945205,22.3
WB,8/8/06,june2006,0.147945205,20.8
WB,8/8/06,june2006,0.147945205,14.9
WB,8/8/06,june2006,0.147945205,26.1
WB,8/8/06,june2006,0.147945205,26
WB,8/8/06,june2006,0.147945205,26.3
WB,8/8/06,june2006,0.147945205,25.2
WB,8/8/06,june2006,0.147945205,26.5
WB,8/8/06,june2006,0.147945205,18.7
WB,8/8/06,june2006,0.147945205,20.6
WB,8/8/06,june2006,0.147945205,16.5
WB,8/8/06,june2006,0.147945205,16
WB,8/8/06,june2006,0.147945205,21.3
WB,8/8/06,june2006,0.147945205,17.6
WB,8/8/06,june2006,0.147945205,15.1
WB,8/8/06,june2006,0.147945205,20.8
WB,8/8/06,june2006,0.147945205,16.8
WB,8/8/06,june2006,0.147945205,16.6
WB,8/8/06,june2006,0.147945205,17.4
WB,8/8/06,june2006,0.147945205,21
WB,8/8/06,june2006,0.147945205,17.7
WB,8/8/06,june2006,0.147945205,11.4
WB,8/8/06,june2006,0.147945205,11.2
WB,8/8/06,june2006,0.147945205,12.3
WB,8/8/06,june2006,0.147945205,17.6
WB,8/8/06,june2006,0.147945205,24.3
WB,8/8/06,june2006,0.147945205,20
WB,8/8/06,june2006,0.147945205,23.5
WB,8/8/06,june2006,0.147945205,26.7
WB,8/8/06,june2006,0.147945205,26.3
WB,8/8/06,june2006,0.147945205,22.5
WB,8/8/06,june2006,0.147945205,10.8
WB,8/8/06,june2006,0.147945205,14.2
WB,8/8/06,june2006,0.147945205,19.2
WB,8/8/06,june2006,0.147945205,11.5
WB,8/8/06,june2006,0.147945205,10
WB,8/8/06,june2006,0.147945205,13
WB,8/8/06,june2006,0.147945205,12.1
WB,8/8/06,june2006,0.147945205,16.1
WB,8/8/06,june2006,0.147945205,16.1
WB,8/8/06,june2006,0.147945205,11.1
WB,8/8/06,june2006,0.147945205,17.3
WB,8/8/06,june2006,0.147945205,16.8
WB,8/8/06,june2006,0.147945205,15.8
WB,8/8/06,june2006,0.147945205,7.3
WB,8/8/06,june2006,0.147945205,13.3
WB,8/8/06,june2006,0.147945205,6.8
WB,8/8/06,june2006,0.147945205,17.5
WB,8/8/06,june2006,0.147945205,12.6
WB,8/8/06,june2006,0.147945205,18.4
WB,8/8/06,june2006,0.147945205,10.5
WB,8/8/06,june2006,0.147945205,6.3
WB,8/8/06,june2006,0.147945205,25.9
WB,8/8/06,june2006,0.147945205,20.6
WB,8/8/06,june2006,0.147945205,16.1
WB,8/8/06,june2006,0.147945205,23.8
WB,8/8/06,june2006,0.147945205,24.1
WB,8/8/06,june2006,0.147945205,14.5
WB,8/8/06,june2006,0.147945205,7.3
WB,8/8/06,june2006,0.147945205,18.8
WB,8/8/06,june2006,0.147945205,9.8
WB,8/8/06,june2006,0.147945205,7.7
WB,8/8/06,june2006,0.147945205,24.3
WB,8/8/06,june2006,0.147945205,19.6
WB,8/16/07,june2007,0.169863014,12.1
WB,8/16/07,june2007,0.169863014,15
WB,8/16/07,june2007,0.169863014,14.3
WB,8/16/07,june2007,0.169863014,11.3
WB,8/16/07,june2007,0.169863014,17.5
WB,8/16/07,june2007,0.169863014,11.3
WB,8/16/07,june2007,0.169863014,14.9
WB,8/16/07,june2007,0.169863014,13.9
WB,8/16/07,june2007,0.169863014,18
WB,8/16/07,june2007,0.169863014,16.4
WB,8/16/07,june2007,0.169863014,7.1
WB,8/16/07,june2007,0.169863014,6.1
WB,8/16/07,june2007,0.169863014,10.1
WB,8/16/07,june2007,0.169863014,10.2
WB,8/16/07,june2007,0.169863014,15.3
WB,8/16/07,june2007,0.169863014,17.3
WB,8/16/07,june2007,0.169863014,8.7
WB,8/16/07,june2007,0.169863014,12.1
WB,8/16/07,june2007,0.169863014,12.6
WB,8/16/07,june2007,0.169863014,16.4
WB,8/16/07,june2007,0.169863014,11.5
WB,8/16/07,june2007,0.169863014,8.6
WB,8/16/07,june2007,0.169863014,11.1
WB,8/16/07,june2007,0.169863014,12.3
WB,8/16/07,june2007,0.169863014,14.1
WB,8/16/07,june2007,0.169863014,17.9
WB,8/16/07,june2007,0.169863014,16.7
WB,8/16/07,june2007,0.169863014,13.8
WB,8/16/07,june2007,0.169863014,12.2
WB,8/16/07,june2007,0.169863014,14.6
WB,8/16/07,june2007,0.169863014,16.6
WB,8/16/07,june2007,0.169863014,9.2
WB,8/16/07,june2007,0.169863014,5.3
WB,8/16/07,june2007,0.169863014,10.4
WB,8/16/07,june2007,0.169863014,13.9
WB,8/16/07,june2007,0.169863014,13.4
WB,8/16/07,june2007,0.169863014,12.8
WB,8/16/07,june2007,0.169863014,10.6
WB,8/16/07,june2007,0.169863014,15.9
WB,8/16/07,june2007,0.169863014,12.8
WB,8/16/07,june2007,0.169863014,14.5
WB,8/16/07,june2007,0.169863014,10.2
WB,8/16/07,june2007,0.169863014,13.1
WB,8/16/07,june2007,0.169863014,13.2
WB,8/16/07,june2007,0.169863014,5.2
WB,8/16/07,june2007,0.169863014,12.5
WB,8/16/07,june2007,0.169863014,17.6
WB,8/16/07,june2007,0.169863014,14.5
WB,8/16/07,june2007,0.169863014,11.6
WB,8/16/07,june2007,0.169863014,10.3
WB,8/16/07,june2007,0.169863014,19.1
WB,8/16/07,june2007,0.169863014,21.9
WB,8/16/07,june2007,0.169863014,11
WB,8/16/07,june2007,0.169863014,14.5
WB,8/16/07,june2007,0.169863014,18.9
WB,8/16/07,june2007,0.169863014,19.1
WB,8/16/07,june2007,0.169863014,15.8
WB,8/16/07,june2007,0.169863014,16
WB,8/16/07,june2007,0.169863014,11.2
WB,8/16/07,june2007,0.169863014,16.7
WB,8/16/07,june2007,0.169863014,7
WB,8/16/07,june2007,0.169863014,12.8
WB,8/16/07,june2007,0.169863014,7
WB,8/16/07,june2007,0.169863014,9.5
WB,8/16/07,june2007,0.169863014,16.7
WB,8/16/07,june2007,0.169863014,9.4
WB,8/16/07,june2007,0.169863014,17.9
WB,8/16/07,june2007,0.169863014,11.6
WB,8/16/07,june2007,0.169863014,17.1
WB,8/16/07,june2007,0.169863014,16.2
WB,8/16/07,june2007,0.169863014,7.2
WB,8/16/07,june2007,0.169863014,6.1
WB,8/16/07,june2007,0.169863014,8
WB,8/16/07,june2007,0.169863014,7.4
WB,8/16/07,june2007,0.169863014,17.7
WB,8/16/07,june2007,0.169863014,13.1
WB,8/16/07,june2007,0.169863014,9.4
WB,8/16/07,june2007,0.169863014,8
WB,8/16/07,june2007,0.169863014,9.4
WB,8/16/07,june2007,0.169863014,9.8
WB,8/16/07,june2007,0.169863014,11.3
WB,8/16/07,june2007,0.169863014,16.4
WB,8/16/07,june2007,0.169863014,12.1
WB,8/16/07,june2007,0.169863014,19.4
WB,8/16/07,june2007,0.169863014,8.5
WB,8/16/07,june2007,0.169863014,10.3
WB,8/16/07,june2007,0.169863014,13
WB,8/16/07,june2007,0.169863014,16.6
WB,8/16/07,june2007,0.169863014,8.6
WB,8/16/07,june2007,0.169863014,13.9
WB,8/16/07,june2007,0.169863014,7.6
WB,8/16/07,june2007,0.169863014,7.8
WB,8/16/07,june2007,0.169863014,7.2
WB,8/16/07,june2007,0.169863014,10.1
WB,8/16/07,june2007,0.169863014,9.3
WB,8/16/07,june2007,0.169863014,11.5
WB,8/16/07,june2007,0.169863014,5.4
WB,8/16/07,june2007,0.169863014,11.6
WB,8/16/07,june2007,0.169863014,12.4
WB,8/16/07,june2007,0.169863014,9.4
WB,8/16/07,june2007,0.169863014,7.4
WB,8/16/07,june2007,0.169863014,14.3
WB,8/16/07,june2007,0.169863014,16.5
WB,8/16/07,june2007,0.169863014,14.6
WB,8/16/07,june2007,0.169863014,21.3
WB,8/16/07,june2007,0.169863014,16.7
WB,8/16/07,june2007,0.169863014,14.2
WB,8/16/07,june2007,0.169863014,12
WB,8/16/07,june2007,0.169863014,21
WB,8/16/07,june2007,0.169863014,23.2
WB,8/16/07,june2007,0.169863014,13.1
WB,8/16/07,june2007,0.169863014,9.6
WB,8/16/07,june2007,0.169863014,17.7
WB,8/16/07,june2007,0.169863014,21.5
WB,8/16/07,june2007,0.169863014,20.2
WB,8/16/07,june2007,0.169863014,14
WB,8/16/07,june2007,0.169863014,13.3
WB,8/16/07,june2007,0.169863014,13.2
WB,8/16/07,june2007,0.169863014,16.6
WB,8/16/07,june2007,0.169863014,17.6
WB,8/16/07,june2007,0.169863014,26.4
WB,8/16/07,june2007,0.169863014,28.8
WB,8/16/07,june2007,0.169863014,20.9
WB,8/16/07,june2007,0.169863014,24.1
WB,8/16/07,june2007,0.169863014,24.4
WB,8/16/07,june2007,0.169863014,8.1
WB,8/16/07,june2007,0.169863014,10.7
WB,8/16/07,june2007,0.169863014,16.4
WB,8/16/07,june2007,0.169863014,18.9
WB,8/16/07,june2007,0.169863014,16.4
WB,8/16/07,june2007,0.169863014,23.2
WB,8/16/07,june2007,0.169863014,18.2
WB,8/16/07,june2007,0.169863014,18.6
WB,8/16/07,june2007,0.169863014,15.3
WB,8/16/07,june2007,0.169863014,18.4
WB,8/16/07,june2007,0.169863014,19.5
WB,8/16/07,june2007,0.169863014,21.8
WB,8/16/07,june2007,0.169863014,20.6
WB,8/16/07,june2007,0.169863014,16
WB,8/16/07,june2007,0.169863014,15.9
WB,8/16/07,june2007,0.169863014,17.3
WB,8/16/07,june2007,0.169863014,20.4
WB,8/16/07,june2007,0.169863014,22.9
WB,8/16/07,june2007,0.169863014,17.9
WB,8/16/07,june2007,0.169863014,25.8
WB,8/16/07,june2007,0.169863014,14.7
WB,8/16/07,june2007,0.169863014,16
WB,8/16/07,june2007,0.169863014,20.2
WB,8/16/07,june2007,0.169863014,15.8
WB,8/16/07,june2007,0.169863014,13.8
WB,8/16/07,june2007,0.169863014,20.8
WB,8/16/07,june2007,0.169863014,11.3
WB,8/16/07,june2007,0.169863014,10.7
WB,8/16/07,june2007,0.169863014,13.8
WB,8/16/07,june2007,0.169863014,24.2
WB,8/16/07,june2007,0.169863014,11.2
WB,8/16/07,june2007,0.169863014,12.7
WB,8/16/07,june2007,0.169863014,11.4
WB,8/16/07,june2007,0.169863014,10.5
WB,8/16/07,june2007,0.169863014,12.3